"Label","Definition","Context","Comment"
"SRS","spatial reference system - see CRS (Chapman and Wieczorek (2020)).","Test",
"STANDARD","A bdqffdq:Amendment where a value in aÂ bdqffdq:InformationElement is proposed from a bdq:sourceAuthority.","Term-Action","Use in bdq:Response.qualifier or bdq:Response.comment."
"STANDARDIZED","A bdqffdq:Amendment where a bdq:STANDARD value for aÂ bdqffdq:InformationElement is proposed.","Term-Action","Use bdq:AMENDED as the bdq:Response.status, report bdq:STANDARDIZED in a bdq:Response.qualifier or in a bdq:Response.comment."
"Term-Action","The last two components of the Title, useful in filtering Tests in CSV files, for example: ""COUNTRYCODE_STANDARD""","Test",
"Test","The key part of BDQ Core which describe the tests against biodiversity data. Includes CORE, Immature/Incomplete, Supplementary, or DO NOT IMPLEMENT.","BDQ Core",
"testFields","Column heading in the markdown of the tests in the bdq GitHub that list all the normative and informative metadata elements that describe a Data Quality Test","Test",
"TestPrerequisite","Conditions that must be met for a test to be run (e.g., fields having values, tests that need to be run before the current test, availability of a bdq:sourceAuthority)","Test","See for example, INTERNAL_PREREQUISTES_NOT_MET (_q.v._) and EXTERNAL_PREREQUISITES_NOT_MET (_q.v._)."
"TestType","There are four types of tests, viz. bdqffdq:Validation, bdqffdq:Amendment, bdqffdq:Issue, and bdqffdq:Measure.","Test",
"TRANSPOSED","The sign and/or value of one or more bdqffdq:InformationElements were swapped.","Term-Action","Use bdq:AMENDED as the bdq:Response.status, report bdq:TRANSPOSED in a bdq:Response.qualifier or in a bdq:Response.comment. See Test ""AMENDMENT_COORDINATES_TRANSPOSED"" (f2b4a50a-6b2f-4930-b9df-da87b6a21082)."
"VERBATIM","A general category of specific bdq:InformationElements that represents a term containing a original value.","bdqffdq:InformationElement",
"white space","1) A field that only includes white space (blanks) is treated as bdq:EMPTY (_q.v._). 2) In bdqffdq:Validation tests (_q.v._) that require the looking up of a bdq:sourceAuthority, leading and/or trailing white space will cause the test to fail as no preprocessing is carried out on the data. These leading and trailing white spaces may be stripped out in a subsequent bdqffdq:Amendment and thus pass when the bdqffdq:Validation test is run again.","Data",
"YEARMONTHDAY","A general category of specific bdq:InformationElements that represents a combination of the Darwin Core terms dwc:year, dwc:month, dwc:day.","bdqffdq:InformationElement",
"YEARSTARTDAYOFYEARENDDAYOFYEAR","A general category of specific bdq:InformationElements that represents a combination of the Darwin Core terms dwc:year, dwc:startDayOfYear, dwc:endDayofYear.","bdqffdq:InformationElement",
